Camera_Id,Direction,Vehicle_Count,Density,Date,Time,Latitude,Longitude,Is_Weekday,Is_Peak,Jam
4702,CHANGI,7,23.33333333333333,2024-01-29,17:05:00,1.27237,103.8324,1,0,1
6704,JURONG,9,29.999999999999996,2024-01-29,17:05:04,1.32657403632366,103.826857295633,1,0,1
6704,CHANGI,13,43.33333333333333,2024-01-29,17:05:04,1.32657403632366,103.826857295633,1,0,1
1004,PIE (TUAS),2,6.666666666666666,2024-01-29,17:05:01,1.319535712,103.8750668,1,0,0
1004,KPE (ECP),2,6.666666666666666,2024-01-29,17:05:01,1.319535712,103.8750668,1,0,0
1502,MCE (AYE),2,6.666666666666666,2024-01-29,17:05:04,1.27135090682664,103.861828440597,1,0,0
6703,THOMSON,0,0.0,2024-01-29,17:05:03,1.328899,103.84121,1,0,0
6703,JURONG,14,46.66666666666666,2024-01-29,17:05:03,1.328899,103.84121,1,0,1
6703,CHANGI,1,3.333333333333333,2024-01-29,17:05:03,1.328899,103.84121,1,0,0
8706,BKE,5,16.666666666666664,2024-01-29,17:05:00,1.3664,103.70899,1,0,0
8706,PIE,0,0.0,2024-01-29,17:05:00,1.3664,103.70899,1,0,0
7797,CTE,0,0.0,2024-01-29,17:05:06,1.40002575,103.85702534,1,0,0
7797,PIE,0,0.0,2024-01-29,17:05:06,1.40002575,103.85702534,1,0,0
7797,SLE,2,6.666666666666666,2024-01-29,17:05:06,1.40002575,103.85702534,1,0,0
2706,WOODLANDS,15,49.99999999999999,2024-01-29,17:05:09,1.414142,103.771168,1,0,1
2706,PIE,0,0.0,2024-01-29,17:05:09,1.414142,103.771168,1,0,0
7795,SLE,4,13.333333333333332,2024-01-29,17:05:03,1.38432741,103.91585701,1,0,0
7795,PIE,0,0.0,2024-01-29,17:05:03,1.38432741,103.91585701,1,0,0
7795,KPE,3,9.999999999999998,2024-01-29,17:05:03,1.38432741,103.91585701,1,0,0
1711,CITY,18,59.99999999999999,2024-01-29,17:05:07,1.35296,103.85719,1,0,1
1711,SLE,1,3.333333333333333,2024-01-29,17:05:07,1.35296,103.85719,1,0,0
6711,JURONG,5,16.666666666666664,2024-01-29,17:05:00,1.33771,103.977827,1,0,0
6711,CITY,1,3.333333333333333,2024-01-29,17:05:00,1.33771,103.977827,1,0,0
6711,AIRPORT,0,0.0,2024-01-29,17:05:00,1.33771,103.977827,1,0,0
9703,TPE,1,3.333333333333333,2024-01-29,17:05:07,1.422857,103.773005,1,0,0
9703,BKE/WOODLANDS,0,0.0,2024-01-29,17:05:07,1.422857,103.773005,1,0,0
9703,BKE/PIE,1,3.333333333333333,2024-01-29,17:05:07,1.422857,103.773005,1,0,0
3796,CHANGI,9,29.999999999999996,2024-01-29,17:05:02,1.297512569,103.8983019,1,0,1
3796,AYE/CITY,1,3.333333333333333,2024-01-29,17:05:02,1.297512569,103.8983019,1,0,0
1111,LOYANG AVE,2,6.666666666666666,2024-01-29,17:05:08,1.365434,103.953997,1,0,0
1111,SLE,3,9.999999999999998,2024-01-29,17:05:08,1.365434,103.953997,1,0,0
9704,TPE,0,0.0,2024-01-29,17:05:07,1.42214311,103.79542062,1,0,0
9704,BKE,3,9.999999999999998,2024-01-29,17:05:07,1.42214311,103.79542062,1,0,0
6713,JURONG,7,23.33333333333333,2024-01-29,17:05:03,1.340298,103.945652,1,0,1
6713,CHANGI,2,6.666666666666666,2024-01-29,17:05:03,1.340298,103.945652,1,0,0
6716,CHANGI,3,9.999999999999998,2024-01-29,17:05:03,1.322893,103.6635051,1,0,0
6716,AYE,18,59.99999999999999,2024-01-29,17:05:03,1.322893,103.6635051,1,0,1
7793,KPE/SLE,0,0.0,2024-01-29,17:05:03,1.37704704,103.92946983,1,0,0
7793,PIE,4,13.333333333333332,2024-01-29,17:05:03,1.37704704,103.92946983,1,0,0
7793,PASIR RIS DR 12,6,19.999999999999996,2024-01-29,17:05:03,1.37704704,103.92946983,1,0,0
6705,JURONG,9,29.999999999999996,2024-01-29,17:05:04,1.332124,103.81768,1,0,1
6705,CHANGI,6,19.999999999999996,2024-01-29,17:05:04,1.332124,103.81768,1,0,0
9702,TPE,22,73.33333333333333,2024-01-29,17:05:03,1.39474081,103.81797086,1,0,1
